"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"406",29,1194,7.4625e-05,24.1247906197655,NA,"CanopyHeight","Eulemur_rubriventer","Ambavala_3","Ambavala",3
"407",1,589,3.68125e-05,21.6366723259762,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodivoara_1","Ambodivoara",1
"408",2,497,3.10625e-05,25.7183098591549,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodihasina_1","Ambodihasina",1
"409",3,499,3.11875e-05,21.9519038076152,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodimandresy_2","Ambodimandresy",2
"410",4,556,3.475e-05,24.3669064748202,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodivoara_3","Ambodivoara",3
"411",5,382,2.3875e-05,20.8821989528796,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodivoara_2","Ambodivoara",2
"412",6,646,4.0375e-05,21.0820433436532,NA,"CanopyHeight","Hapalemur_occidentalis","Androfiabe_1","Androfiabe",1
"413",7,459,2.86875e-05,23.7276688453159,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodimandresy_3","Ambodimandresy",3
"414",8,472,2.95e-05,19.8453389830509,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodihasina_3","Ambodihasina",3
"415",9,480,3e-05,20.1479166666666,NA,"CanopyHeight","Hapalemur_occidentalis","Befamatra_1","Befamatra",1
"416",10,431,2.69375e-05,22.1438515081206,NA,"CanopyHeight","Hapalemur_occidentalis","Befamatra_3","Befamatra",3
"417",11,508,3.175e-05,25.1614173228346,NA,"CanopyHeight","Hapalemur_occidentalis","Androfiabe_3","Androfiabe",3
"418",12,528,3.3e-05,23.1325757575757,NA,"CanopyHeight","Hapalemur_occidentalis","Betaolana_3","Betaolana",3
"419",13,515,3.21875e-05,23.504854368932,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodivoara_5","Ambodivoara",5
"420",14,487,3.04375e-05,23.1930184804928,NA,"CanopyHeight","Hapalemur_occidentalis","Betaolana_2","Betaolana",2
"421",15,678,4.2375e-05,20.9808259587021,NA,"CanopyHeight","Hapalemur_occidentalis","Betaolana_1","Betaolana",1
"422",16,541,3.38125e-05,23.3253234750462,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodivoara_4","Ambodivoara",4
"423",17,392,2.45e-05,25.9209183673469,NA,"CanopyHeight","Hapalemur_occidentalis","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"424",18,465,2.90625e-05,21.3354838709677,NA,"CanopyHeight","Hapalemur_occidentalis","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"425",19,514,3.2125e-05,22.0252918287938,NA,"CanopyHeight","Hapalemur_occidentalis","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"426",20,476,2.975e-05,23.6827731092437,NA,"CanopyHeight","Hapalemur_occidentalis","Befamatra_2","Befamatra",2
"427",21,617,3.85625e-05,24.6482982171799,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodimandresy_1","Ambodimandresy",1
"428",22,732,4.575e-05,24.7950819672131,NA,"CanopyHeight","Hapalemur_occidentalis","Antanambe_2","Antanambe",2
"429",23,511,3.19375e-05,22.5929549902153,NA,"CanopyHeight","Hapalemur_occidentalis","Antanambe_3","Antanambe",3
"430",24,506,3.1625e-05,22.1699604743083,NA,"CanopyHeight","Hapalemur_occidentalis","Androfiabe_2","Androfiabe",2
"431",25,634,3.9625e-05,20.6940063091483,NA,"CanopyHeight","Hapalemur_occidentalis","Ambodihasina_2","Ambodihasina",2
"432",26,414,2.5875e-05,23.6159420289855,NA,"CanopyHeight","Hapalemur_occidentalis","Antanambe_1","Antanambe",1
"433",27,662,4.1375e-05,22.8987915407855,NA,"CanopyHeight","Hapalemur_occidentalis","Ambavala_1","Ambavala",1
"434",28,550,3.4375e-05,23.2890909090909,NA,"CanopyHeight","Hapalemur_occidentalis","Ambavala_2","Ambavala",2
"435",29,782,4.8875e-05,24.3874680306905,NA,"CanopyHeight","Hapalemur_occidentalis","Ambavala_3","Ambavala",3
"436",1,94,5.875e-06,21.2872340425532,NA,"CanopyHeight","Lepilemur_saeli","Ambodivoara_1","Ambodivoara",1
"437",2,76,4.75e-06,25.7236842105263,NA,"CanopyHeight","Lepilemur_saeli","Ambodihasina_1","Ambodihasina",1
"438",3,51,3.1875e-06,22.078431372549,NA,"CanopyHeight","Lepilemur_saeli","Ambodimandresy_2","Ambodimandresy",2
"439",4,120,7.5e-06,25.3166666666667,NA,"CanopyHeight","Lepilemur_saeli","Ambodivoara_3","Ambodivoara",3
"440",5,55,3.4375e-06,17.3272727272727,NA,"CanopyHeight","Lepilemur_saeli","Ambodivoara_2","Ambodivoara",2
"441",6,99,6.1875e-06,21.0505050505051,NA,"CanopyHeight","Lepilemur_saeli","Androfiabe_1","Androfiabe",1
"442",7,73,4.5625e-06,23.7671232876712,NA,"CanopyHeight","Lepilemur_saeli","Ambodimandresy_3","Ambodimandresy",3
"443",8,67,4.1875e-06,20.4776119402985,NA,"CanopyHeight","Lepilemur_saeli","Ambodihasina_3","Ambodihasina",3
"444",9,75,4.6875e-06,21.92,NA,"CanopyHeight","Lepilemur_saeli","Befamatra_1","Befamatra",1
"445",10,66,4.125e-06,22.4545454545455,NA,"CanopyHeight","Lepilemur_saeli","Befamatra_3","Befamatra",3
"446",11,63,3.9375e-06,25.2539682539683,NA,"CanopyHeight","Lepilemur_saeli","Androfiabe_3","Androfiabe",3
"447",12,76,4.75e-06,23.4736842105263,NA,"CanopyHeight","Lepilemur_saeli","Betaolana_3","Betaolana",3
"448",13,109,6.8125e-06,24.4311926605505,NA,"CanopyHeight","Lepilemur_saeli","Ambodivoara_5","Ambodivoara",5
"449",14,93,5.8125e-06,23.6236559139785,NA,"CanopyHeight","Lepilemur_saeli","Betaolana_2","Betaolana",2
"450",15,92,5.75e-06,20.3695652173913,NA,"CanopyHeight","Lepilemur_saeli","Betaolana_1","Betaolana",1
"451",16,71,4.4375e-06,25.2957746478873,NA,"CanopyHeight","Lepilemur_saeli","Ambodivoara_4","Ambodivoara",4
"452",17,63,3.9375e-06,25.4761904761905,NA,"CanopyHeight","Lepilemur_saeli","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"453",18,80,5e-06,20.8625,NA,"CanopyHeight","Lepilemur_saeli","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
